url,api_software,number_of_datasets,number_of_supported_datasets,timestamp
https://data.saintry-sur-seine.fr,Opendatasoft,0,0,2023-09-03 10:46:15
https://data.sarthe.fr,Opendatasoft,84,84,2023-09-03 10:46:35
https://data.savigny-le-temple.fr,Opendatasoft,6,6,2023-09-03 10:46:37
https://data.sbb.ch,Opendatasoft,90,90,2023-09-03 10:46:58
https://data.seineouest.fr,Opendatasoft,158,158,2023-09-03 10:47:40
https://data.sicoval.fr,Opendatasoft,110,110,2023-09-03 10:48:10
https://data.sncf.com,Opendatasoft,211,211,2023-09-03 10:49:08
https://data.stad.gent,Opendatasoft,247,247,2023-09-03 10:49:54
https://data.stmalo-agglomeration.fr,Opendatasoft,94,94,2023-09-03 10:50:19
https://data.strasbourg.eu,Opendatasoft,275,275,2023-09-03 10:51:53
https://data.teo-paysdelaloire.fr,Opendatasoft,56,56,2023-09-03 10:52:08
https://data.tg.ch,Opendatasoft,297,297,2023-09-03 10:53:06
https://data.toulouse-metropole.fr,Opendatasoft,625,625,2023-09-03 10:55:54
https://data.tours-metropole.fr,Opendatasoft,184,184,2023-09-03 10:57:06
https://data.townofcary.org,Opendatasoft,48,48,2023-09-03 10:57:28
https://data.univ-evry.fr,Opendatasoft,21,21,2023-09-03 10:57:34
https://data.val2c.fr,Opendatasoft,132,132,2023-09-03 10:58:17
https://data.valdeloirenumerique.fr,Opendatasoft,8,8,2023-09-03 10:58:20
https://data.vendee.fr,Opendatasoft,53,53,2023-09-03 10:58:33
https://data.ville-bondoufle.fr,Opendatasoft,62,62,2023-09-03 10:58:56
https://data.ville-cesson.fr,Opendatasoft,80,80,2023-09-03 10:59:22
https://data.ville-lieusaint.fr,Opendatasoft,14,14,2023-09-03 10:59:25
https://data.ville-soissons.fr,Opendatasoft,127,127,2023-09-03 11:00:12
https://data.villedavray.fr,Opendatasoft,60,60,2023-09-03 11:00:36
https://data.wollondilly.nsw.gov.au,Opendatasoft,15,15,2023-09-03 11:00:56
https://data.wpcouncils.nsw.gov.au,Opendatasoft,14,14,2023-09-03 11:01:15
https://data64.opendatasoft.com,Opendatasoft,94,94,2023-09-03 11:01:51
https://datacorsica.opendatasoft.com,Opendatasoft,260,260,2023-09-03 11:02:57
