url,api_software,number_of_datasets,number_of_supported_datasets,timestamp
https://cloudbirst.my.opendatasoft.com,Opendatasoft,3,3,2023-09-03 01:58:00
https://cnav.opendatasoft.com,Opendatasoft,19,19,2023-09-03 01:58:07
https://codeforanchorage.opendatasoft.com,Opendatasoft,0,0,2023-09-03 01:58:07
https://codeforcary.opendatasoft.com,Opendatasoft,16,16,2023-09-03 01:58:15
https://color-big-header-theme-discovery.opendatasoft.com,Opendatasoft,29,29,2023-09-03 01:58:23
https://corbeil-essonnes-grandparissud.opendatasoft.com,Opendatasoft,3,3,2023-09-03 01:58:25
https://cudunkerque.opendatasoft.com,Opendatasoft,150,150,2023-09-03 01:59:17
https://culture.opendatasoft.com,Opendatasoft,144,144,2023-09-03 02:00:15
https://dadesobertes.fgc.cat,Opendatasoft,34,34,2023-09-03 02:00:25
https://dark-big-header-alternative-theme-discovery.opendatasoft.com,Opendatasoft,29,29,2023-09-03 02:00:35
https://dashboardcovid.trial.opendatasoft.com,Opendatasoft,12,12,2023-09-03 02:00:38
https://data.82numerique.fr,Opendatasoft,130,130,2023-09-03 02:01:37
https://data.agen.fr,Opendatasoft,91,91,2023-09-03 02:02:10
https://data.agglo-carene.fr,Opendatasoft,105,105,2023-09-03 02:02:36
https://data.ajman.ae,Opendatasoft,144,144,2023-09-03 02:03:18
https://data.ameli.fr,Opendatasoft,15,15,2023-09-03 02:03:23
https://data.ampmetropole.fr,Opendatasoft,248,248,2023-09-03 02:04:56
https://data.angers.fr,Opendatasoft,149,149,2023-09-03 02:05:53
https://data.artisanat.fr,Opendatasoft,6,6,2023-09-03 02:05:58
https://data.ballarat.vic.gov.au,Opendatasoft,87,87,2023-09-03 02:07:50
https://data.bep.be,Opendatasoft,124,124,2023-09-03 02:08:21
https://data.blois.agglopolys.fr,Opendatasoft,156,156,2023-09-03 02:09:31
https://data.bmcc.nsw.gov.au,Opendatasoft,11,11,2023-09-03 02:09:47
https://data.bourgesplus.fr,Opendatasoft,57,57,2023-09-03 02:10:08
https://data.bretagne.bzh,Opendatasoft,205,205,2023-09-03 02:11:27
https://data.bs.ch,Opendatasoft,238,238,2023-09-03 02:12:24
https://data.camden.nsw.gov.au,Opendatasoft,14,14,2023-09-03 02:12:44
https://data.campbelltown.nsw.gov.au,Opendatasoft,8,8,2023-09-03 02:12:56
https://data.cannes.com,Opendatasoft,149,149,2023-09-03 02:13:53
https://data.capatlantique.fr,Opendatasoft,122,122,2023-09-03 02:14:19
https://data.casey.vic.gov.au,Opendatasoft,129,129,2023-09-03 02:17:11
https://data.centrevaldeloire.fr,Opendatasoft,294,294,2023-09-03 02:18:41
https://data.chateauroux-metropole.fr,Opendatasoft,90,90,2023-09-03 02:19:06
https://data.combs-la-ville.fr,Opendatasoft,40,40,2023-09-03 02:19:21
https://data.corangamite.vic.gov.au,Opendatasoft,11,11,2023-09-03 02:19:37
https://data.coudray-montceaux.fr,Opendatasoft,11,11,2023-09-03 02:19:40
https://data.culture.gouv.fr,Opendatasoft,144,144,2023-09-03 02:20:26
https://data.culturecommunication.gouv.fr,Opendatasoft,144,144,2023-09-03 02:21:17
https://data.drees.solidarites-sante.gouv.fr,Opendatasoft,138,138,2023-09-03 02:22:06
https://data.dunkerque-agglo.fr,Opendatasoft,150,150,2023-09-03 02:22:54
https://data.economie.gouv.fr,Opendatasoft,438,438,2023-09-03 02:24:53
https://data.education.gouv.fr,Opendatasoft,115,115,2023-09-03 02:25:38
https://data.eindhoven.nl,Opendatasoft,114,114,2023-09-03 02:26:06
https://data.enedis.fr,Opendatasoft,75,75,2023-09-03 02:26:26
https://data.enseignementsup-recherche.gouv.fr,Opendatasoft,168,168,2023-09-03 02:27:21
https://data.erdf.fr,Opendatasoft,75,75,2023-09-03 02:27:48
