url,api_software,number_of_datasets,number_of_supported_datasets,timestamp
https://data.etiolles.fr,Opendatasoft,77,77,2023-09-03 02:35:12
https://data.eurelien.fr,Opendatasoft,59,59,2023-09-03 02:35:26
https://data.explore.star.fr,Opendatasoft,45,45,2023-09-03 02:35:37
https://data.fairfieldcity.nsw.gov.au,Opendatasoft,4,4,2023-09-03 02:35:44
https://data.fleurysurorne.fr,Opendatasoft,128,128,2023-09-03 02:36:22
https://data.frankston.vic.gov.au,Opendatasoft,19,19,2023-09-03 02:36:48
https://data.gers.fr,Opendatasoft,69,69,2023-09-03 02:37:12
https://data.gouv.nc,Opendatasoft,431,431,2023-09-03 02:46:24
https://data.grandparissud.fr,Opendatasoft,305,305,2023-09-03 02:47:52
https://data.grandpoitiers.fr,Opendatasoft,238,238,2023-09-03 02:48:54
https://data.haute-garonne.fr,Opendatasoft,289,289,2023-09-03 02:50:07
https://data.hauts-de-france.education.gouv.fr,Opendatasoft,9,9,2023-09-03 02:50:10
https://data.hawkesbury.nsw.gov.au,Opendatasoft,2,2,2023-09-03 02:50:14
https://data.idelis.fr,Opendatasoft,18,18,2023-09-03 02:50:19
https://data.iledefrance-mobilites.fr,Opendatasoft,66,66,2023-09-03 02:50:35
https://data.iledefrance.fr,Opendatasoft,899,899,2023-09-03 02:54:23
https://data.issy.com,Opendatasoft,331,331,2023-09-03 02:56:23
https://data.jerseycitynj.gov,Opendatasoft,1275,1275,2023-09-03 03:06:21
https://data.lafibre64.fr,Opendatasoft,6,6,2023-09-03 03:06:23
https://data.lakemac.com.au,Opendatasoft,19,19,2023-09-03 03:06:48
https://data.laregion.fr,Opendatasoft,1604,1604,2023-09-03 03:16:40
https://data.larochesuryon.fr,Opendatasoft,93,93,2023-09-03 03:17:01
https://data.le64.fr,Opendatasoft,94,94,2023-09-03 03:17:46
https://data.leicester.gov.uk,Opendatasoft,330,330,2023-09-03 03:19:00
https://data.liverpool.nsw.gov.au,Opendatasoft,18,18,2023-09-03 03:19:26
https://data.loire-atlantique.fr,Opendatasoft,334,334,2023-09-03 03:20:44
https://data.longbeach.gov,Opendatasoft,20,20,2023-09-03 03:20:55
https://data.maine-et-loire.fr,Opendatasoft,130,130,2023-09-03 03:21:25
https://data.mairie-ris-orangis.fr,Opendatasoft,76,76,2023-09-03 03:22:05
https://data.maitland.nsw.gov.au,Opendatasoft,51,51,2023-09-03 03:23:12
https://data.maugescommunaute.fr,Opendatasoft,15,15,2023-09-03 03:23:16
https://data.melbourne.vic.gov.au,Opendatasoft,225,225,2023-09-03 03:28:12
https://data.meudon.fr,Opendatasoft,79,79,2023-09-03 03:28:44
https://data.moissy-cramayel.fr,Opendatasoft,93,93,2023-09-03 03:29:22
https://data.montreuil.fr,Opendatasoft,157,157,2023-09-03 03:30:12
https://data.mulhouse-alsace.fr,Opendatasoft,132,132,2023-09-03 03:30:47
https://data.namur.be,Opendatasoft,260,260,2023-09-03 03:31:58
https://data.nantesmetropole.fr,Opendatasoft,476,476,2023-09-03 03:33:43
https://data.nccourts.gov,Opendatasoft,5,5,2023-09-03 03:33:46
https://data.nimes-metropole.fr,Opendatasoft,125,125,2023-09-03 03:34:25
https://data.normandie.education.gouv.fr,Opendatasoft,41,41,2023-09-03 03:34:38
https://data.occitanie.education.gouv.fr,Opendatasoft,55,55,2023-09-03 03:35:10
https://data.ofgl.fr,Opendatasoft,71,71,2023-09-03 03:36:43
https://data.opendatasoft.com,Opendatasoft,31891,4999,2023-09-03 03:58:17
https://data.orleans-metropole.fr,Opendatasoft,231,231,2023-09-03 03:59:42
https://data.paysdelaloire.fr,Opendatasoft,297,297,2023-09-03 04:01:12
https://data.penrith.city,Opendatasoft,8,8,2023-09-03 04:01:27
https://data.randwick.nsw.gov.au,Opendatasoft,,,2023-09-03 04:01:35
https://data.ratp.fr,Opendatasoft,19,19,2023-09-03 04:01:40
https://data.regionreunion.com,Opendatasoft,242,242,2023-09-03 04:03:14
https://data.rennesmetropole.fr,Opendatasoft,505,505,2023-09-03 04:05:30
https://data.saint-maur.com,Opendatasoft,23,23,2023-09-03 04:05:39
