url,api_software,number_of_datasets,number_of_resources,timestamp
https://data.boston.gov,CKAN,276,1397,2023-08-14 00:21:15
https://data.buenosaires.gob.ar,CKAN,430,2808,2023-08-14 00:21:53
https://data.ca.gov,CKAN,3948,22712,2023-08-14 00:22:15
https://data.capitol.texas.gov,CKAN,753,16343,2023-08-14 00:22:35
https://data.chhs.ca.gov,CKAN,503,3591,2023-08-14 00:22:40
https://data.ci.newark.nj.us,CKAN,108,259,2023-08-14 00:22:43
https://data.cityofdenton.com,CKAN,46,735,2023-08-14 00:22:47
https://data.cnra.ca.gov,CKAN,20583,61558,2023-08-14 00:24:29
https://data.code4sa.org,CKAN,220,11,2023-08-14 00:24:32
https://data.dide.ic.ac.uk,CKAN,112,14,2023-08-14 00:24:34
https://data.disl.edu,CKAN,220,591,2023-08-14 00:24:38
https://data.dundeecity.gov.uk,CKAN,52,275,2023-08-14 00:24:43
https://data.ed.gov,CKAN,952,8106,2023-08-14 00:25:20
https://data.eqe-lab.com,CKAN,0,0,2023-08-14 00:25:22
https://data.go.th,CKAN,10086,34710,2023-08-14 00:27:53
https://data.gov.ie,CKAN,14892,56903,2023-08-14 00:29:11
https://data.gov.ro,CKAN,3595,31802,2023-08-14 00:30:19
https://data.gov.sk,CKAN,3306,13532,2023-08-14 00:30:48
https://data.gov.tt,CKAN,62,378,2023-08-14 00:30:57
https://data.gov.ua,CKAN,29243,225757,2023-08-14 00:34:06
https://data.gv.at/katalog,CKAN,,,2023-08-14 00:34:25
https://data.halmaherautarakab.go.id,CKAN,90,181,2023-08-14 00:34:31
https://data.houstontx.gov,CKAN,66,181,2023-08-14 00:34:35
https://data.humdata.org,CKAN,22964,155825,2023-08-14 00:37:28
https://data.illinois.gov,CKAN,622,948,2023-08-14 00:37:36
https://data.kdl.kcl.ac.uk,CKAN,6,25,2023-08-14 00:37:38
https://data.milwaukee.gov,CKAN,182,1100,2023-08-14 00:37:42
https://data.montreal.ca,CKAN,341,2099,2023-08-14 00:37:47
https://data.nbco.gov.ie,CKAN,2,6,2023-08-14 00:37:49
https://data.nhm.ac.uk,CKAN,236,1090,2023-08-14 00:37:52
https://data.ok.gov,CKAN,345,1081,2023-08-14 00:37:56
https://data.ontario.ca,CKAN,2855,4246,2023-08-14 00:38:17
https://data.opendata.am,CKAN,804,4874,2023-08-14 00:38:22
https://data.openstate.eu,CKAN,87,428,2023-08-14 00:38:25
https://data.overheid.nl/data,CKAN,15634,55790,2023-08-14 00:41:13
https://data.pkc.gov.uk,CKAN,78,335,2023-08-14 00:41:17
https://data.reach-incubator.eu,CKAN,66,106,2023-08-14 00:41:22
https://data.renfe.com,CKAN,63,114,2023-08-14 00:41:25
https://data.rsud.tulungagung.go.id,CKAN,20,71,2023-08-14 00:41:30
https://data.sanantonio.gov,CKAN,109,607,2023-08-14 00:41:33
https://data.sanjoseca.gov,CKAN,187,957,2023-08-14 00:41:37
https://data.sba.gov,CKAN,28,133,2023-08-14 00:41:41
https://data.spatialhub.scot,CKAN,342,711,2023-08-14 00:41:44
https://data.staging.sba.gov,CKAN,13,16,2023-08-14 00:41:47
https://data.subak.org,CKAN,25150,57132,2023-08-14 00:43:28
https://data.surrey.ca,CKAN,403,1688,2023-08-14 00:43:32
https://data.tainan.gov.tw,CKAN,1712,17571,2023-08-14 00:44:08
https://data.temanggungkab.go.id,CKAN,285,941,2023-08-14 00:44:46
https://data.ucar.edu,CKAN,20336,20336,2023-08-14 00:48:59
https://data.visualisingballarat.org.au,CKAN,689,2324,2023-08-14 00:49:05
https://data.waterpathogens.org,CKAN,47,110,2023-08-14 00:49:10
https://data.wprdc.org,CKAN,333,2226,2023-08-14 00:49:25
https://data.wu.ac.at/portal,CKAN,149,152,2023-08-14 00:49:27
https://data2.cerdi.edu.au,CKAN,689,2324,2023-08-14 00:49:32
https://datahub-perovskites.nrel.gov,CKAN,2,4,2023-08-14 00:49:35
https://datahub.chemcatbio.org,CKAN,19,51,2023-08-14 00:49:39
https://datahub.duramat.org,CKAN,119,850,2023-08-14 00:49:43
https://datahub.electrocat.org,CKAN,12,29,2023-08-14 00:49:46
https://datahub.h2awsm.org,CKAN,42,219,2023-08-14 00:49:51
https://datahub.hymarc.org,CKAN,17,77,2023-08-14 00:49:54
https://datamx.io,CKAN,9712,55919,2023-08-14 00:50:36
https://dataset.pustakadata.id,CKAN,4,5,2023-08-14 00:50:39
https://datasets.wri.org,CKAN,134,302,2023-08-14 00:50:43
