url,manually_checked_api,active,error_type
ckan.samarindakota.go.id,,False,['HTTPS and HTTP requests failed']
ckan.sbs-app.com,,False,['HTTPS and HTTP requests failed']
ckanau.org,,False,['HTTPS and HTTP requests failed']
cloud.cnr.gob.sv,,False,['HTTPS and HTTP requests failed']
cmda.gov.uz,,False,['HTTPS and HTTP requests failed']
cmo.org.tt,,False,['HTTPS and HTTP requests failed']
cmr-data.atlas-forestier.org,,False,['HTTPS and HTTP requests failed']
cms-staging-v1-archived.demo.socrata.com,,False,['HTTPS and HTTP requests failed']
cms.burlington.ca,,False,['HTTPS and HTTP requests failed']
cngo.ca,,False,['HTTPS and HTTP requests failed']
co.amador.ca.us,,False,['HTTPS and HTTP requests failed']
co.pierce.wa.us,,False,['HTTPS and HTTP requests failed']
codepen.io,,False,['HTTPS and HTTP requests failed']
cofelyservices.opendatasoft.com,,False,['HTTPS and HTTP requests failed']
cog-data.atlas-forestier.org,,False,['HTTPS and HTTP requests failed']
coloradogeologicalsurvey.org,,False,['HTTPS and HTTP requests failed']
community.wix.com,,False,['HTTPS and HTTP requests failed']
comunidad.comprasdominicana.gob.do,,False,['HTTPS and HTTP requests failed']
connecteddata.nationalgrid.co.uk,,False,['HTTPS and HTTP requests failed']
conseil.general.manche.fr,,False,['HTTPS and HTTP requests failed']
content.govdelivery.com,,False,['HTTPS and HTTP requests failed']
context.reverso.net,,False,['HTTPS and HTTP requests failed']
contraloria.gob.pa,,False,['HTTPS and HTTP requests failed']
cookislands.pacificweather.org,,False,['HTTPS and HTTP requests failed']
copyprogramming.com,,False,['HTTPS and HTTP requests failed']
cpcbenvis.nic.in,,False,['HTTPS and HTTP requests failed']
craft.co,,False,['HTTPS and HTTP requests failed']
csb.gov.lv,,False,['HTTPS and HTTP requests failed']
cso-yemen.org,,False,['HTTPS and HTTP requests failed']
css.ethz.ch,,False,['HTTPS and HTTP requests failed']
cw33.com,,False,['HTTPS and HTTP requests failed']
cw39.com,,False,['HTTPS and HTTP requests failed']
cz.ckan.net,,False,['HTTPS and HTTP requests failed']
czso.cz,,False,['HTTPS and HTTP requests failed']
dados.al.gov.br,,False,['HTTPS and HTTP requests failed']
dados.df.gov.br,,False,['HTTPS and HTTP requests failed']
dados.fortaleza.ce.gov.br,,False,['HTTPS and HTTP requests failed']
dados.novohamburgo.rs.gov.br,,False,['HTTPS and HTTP requests failed']
dados.pbh.gov.br,,False,['HTTPS and HTTP requests failed']
dadosabertos.cl.df.gov.br,,False,['HTTPS and HTTP requests failed']
dadosabertos.ibama.gov.br,,False,['HTTPS and HTTP requests failed']
dadosabertos.tce.mg.gov.br,,False,['HTTPS and HTTP requests failed']
damocun.pw,,False,['HTTPS and HTTP requests failed']
dartportal.leeds.ac.uk,,False,['HTTPS and HTTP requests failed']
data-dot-one.gitbooks.io,,False,['HTTPS and HTTP requests failed']
data.aberdeencity.gov.uk,,False,['HTTPS and HTTP requests failed']
data.act.gov.au,,False,['HTTPS and HTTP requests failed']
data.agglo-royan.fr,,False,['HTTPS and HTTP requests failed']
data.amsterdam.nl,,False,['HTTPS and HTTP requests failed']
data.atf.gov,,False,['HTTPS and HTTP requests failed']
data.awcnet.org,,False,['HTTPS and HTTP requests failed']
