url,api_software,number_of_datasets,number_of_supported_datasets,timestamp
https://documentation-resources.opendatasoft.com,Opendatasoft,19,19,2023-08-10 21:45:58
https://donnees.grandchambery.fr,Opendatasoft,97,97,2023-08-10 21:46:01
https://dormagen.opendatasoft.com,Opendatasoft,123,123,2023-08-10 21:46:04
https://e-agre.opendatasoft.com,Opendatasoft,1,1,2023-08-10 21:46:06
https://eindhoven.opendatasoft.com,Opendatasoft,114,114,2023-08-10 21:46:09
https://enedis.opendatasoft.com,Opendatasoft,75,75,2023-08-10 21:46:12
https://enseignement-agricole.opendatasoft.com,Opendatasoft,26,26,2023-08-10 21:46:14
https://epn-agglo.opendatasoft.com,Opendatasoft,21,21,2023-08-10 21:46:17
https://equipements.sports.gouv.fr,Opendatasoft,13,13,2023-08-10 21:46:19
https://erdf.opendatasoft.com,Opendatasoft,75,75,2023-08-10 21:46:22
https://eurometrostrasbourg.opendatasoft.com,Opendatasoft,274,274,2023-08-10 21:46:25
https://evrycourcouronnes-grandparissud.opendatasoft.com,Opendatasoft,33,33,2023-08-10 21:46:27
https://fgc.opendatasoft.com,Opendatasoft,34,34,2023-08-10 21:46:30
https://finistere.opendatasoft.com,Opendatasoft,112,112,2023-08-10 21:46:32
https://fluvius.opendatasoft.com,Opendatasoft,24,24,2023-08-10 21:46:35
https://fmes.opendatasoft.com,Opendatasoft,1,1,2023-08-10 21:46:37
https://fos-sur-mer.opendatasoft.com,Opendatasoft,8,8,2023-08-10 21:46:40
https://fpassaniti.opendatasoft.com,Opendatasoft,60,60,2023-08-10 21:46:43
https://frankston-mav-technology-geelongvic.opendatasoft.com,Opendatasoft,19,19,2023-08-10 21:46:47
https://geelongvic.opendatasoft.com,Opendatasoft,155,155,2023-08-10 21:46:52
https://gijon.opendatasoft.com,Opendatasoft,754,754,2023-08-10 21:46:56
https://gpseo.opendatasoft.com,Opendatasoft,21,21,2023-08-10 21:46:58
https://grand-est-dataeducation.opendatasoft.com,Opendatasoft,5,5,2023-08-10 21:47:01
https://grandchambery.opendatasoft.com,Opendatasoft,97,97,2023-08-10 21:47:04
https://grandparissud.opendatasoft.com,Opendatasoft,301,301,2023-08-10 21:47:07
https://grandpoitiers.opendatasoft.com,Opendatasoft,238,238,2023-08-10 21:47:10
https://gucci-kering-group.opendatasoft.com,Opendatasoft,3,3,2023-08-10 21:47:13
https://hasparren-opendatapaysbasque.opendatasoft.com,Opendatasoft,5,5,2023-08-10 21:47:18
https://hautespyrenees.opendatasoft.com,Opendatasoft,144,144,2023-08-10 21:47:20
https://ian.my.opendatasoft.com,Opendatasoft,1,1,2023-08-10 21:47:23
https://inai.opendatasoft.com,Opendatasoft,4,4,2023-08-10 21:47:26
https://info-financiere.fr,Opendatasoft,6,6,2023-08-10 21:48:43
https://infrabel.opendatasoft.com,Opendatasoft,91,91,2023-08-10 21:48:46
https://isoc.opendatasoft.com,Opendatasoft,15,15,2023-08-10 21:48:49
https://jcyl.opendatasoft.com,Opendatasoft,355,355,2023-08-10 21:48:52
https://jmorel.opendatasoft.com,Opendatasoft,6,6,2023-08-10 21:48:54
https://kapsarc.opendatasoft.com,Opendatasoft,1255,1255,2023-08-10 21:48:59
https://kering-group.opendatasoft.com,Opendatasoft,4,4,2023-08-10 21:49:02
https://lareunion.opendatasoft.com,Opendatasoft,242,242,2023-08-10 21:49:05
https://leicester.opendatasoft.com,Opendatasoft,310,310,2023-08-10 21:49:08
https://linc.osbm.nc.gov,Opendatasoft,104,104,2023-08-10 21:49:12
https://lisses-grandparissud.opendatasoft.com,Opendatasoft,84,84,2023-08-10 21:49:15
https://liverpool-city-council-westernparklands.opendatasoft.com,Opendatasoft,18,18,2023-08-10 21:49:18
https://loireatlantique.opendatasoft.com,Opendatasoft,334,334,2023-08-10 21:49:21
https://mairie-bastia-datacorsica.opendatasoft.com,Opendatasoft,1,1,2023-08-10 21:49:23
https://mannheim.opendatasoft.com,Opendatasoft,34,34,2023-08-10 21:49:26
https://melbournetestbed.opendatasoft.com,Opendatasoft,225,225,2023-08-10 21:49:44
https://montreuil.opendatasoft.com,Opendatasoft,157,157,2023-08-10 21:49:47
https://mulhouse.opendatasoft.com,Opendatasoft,132,132,2023-08-10 21:49:50
https://namur.opendatasoft.com,Opendatasoft,260,260,2023-08-10 21:49:52
https://nandy-grandparissud.opendatasoft.com,Opendatasoft,66,66,2023-08-10 21:49:55
https://nantesmetropole.opendatasoft.com,Opendatasoft,476,476,2023-08-10 21:49:58
https://ncosbm.opendatasoft.com,Opendatasoft,104,104,2023-08-10 21:50:13
https://nienetworks.opendatasoft.com,Opendatasoft,19,19,2023-08-10 21:50:15
https://nihr.opendatasoft.com,Opendatasoft,13,13,2023-08-10 21:50:18
https://northernpowergrid.opendatasoft.com,Opendatasoft,12,12,2023-08-10 21:50:20
https://nuevoleon.opendatasoft.com,Opendatasoft,66,66,2023-08-10 21:50:23
https://observa.gijon.es,Opendatasoft,754,754,2023-08-10 21:50:27
https://occitanie.opendatasoft.com,Opendatasoft,1601,1601,2023-08-10 21:50:33
https://oddc-datacorsica.opendatasoft.com,Opendatasoft,382,382,2023-08-10 21:50:36
https://odre.opendatasoft.com,Opendatasoft,221,221,2023-08-10 21:50:39
https://open.urssaf.fr,Opendatasoft,109,109,2023-08-10 21:50:42
https://opendata-corse-outremer.edf.fr,Opendatasoft,59,59,2023-08-10 21:50:45
https://opendata-corse.edf.fr,Opendatasoft,22,22,2023-08-10 21:50:48
https://opendata-guadeloupe.edf.fr,Opendatasoft,20,20,2023-08-10 21:50:50
https://opendata-guyane.edf.fr,Opendatasoft,20,20,2023-08-10 21:50:53
https://opendata-iles-ponant.edf.fr,Opendatasoft,0,0,2023-08-10 21:50:55
https://opendata-martinique.edf.fr,Opendatasoft,21,21,2023-08-10 21:50:58
https://opendata-reunion.edf.fr,Opendatasoft,22,22,2023-08-10 21:51:14
https://opendata.afd.fr,Opendatasoft,15,15,2023-08-10 21:51:16
https://opendata.agenceore.fr,Opendatasoft,46,46,2023-08-10 21:51:21
https://opendata.agglo-pau.fr,Opendatasoft,38,38,2023-08-10 21:51:24
https://opendata.aude.fr,Opendatasoft,31,31,2023-08-10 21:51:26
https://opendata.bordeaux-metropole.fr,Opendatasoft,389,389,2023-08-10 21:51:31
https://opendata.brest-metropole.fr,Opendatasoft,379,379,2023-08-10 21:51:35
https://opendata.brussel.be,Opendatasoft,543,543,2023-08-10 21:51:39
https://opendata.brussels.be,Opendatasoft,543,543,2023-08-10 21:51:42
https://opendata.bruxelles.be,Opendatasoft,543,543,2023-08-10 21:51:47
https://opendata.caissedesdepots.fr,Opendatasoft,72,72,2023-08-10 21:51:49
https://opendata.cc-lacqorthez.fr,Opendatasoft,64,64,2023-08-10 21:51:52
https://opendata.comune.bologna.it,Opendatasoft,633,633,2023-08-10 21:51:56
https://opendata.datainfogreffe.fr,Opendatasoft,58,58,2023-08-10 21:51:58
https://opendata.doubs.fr,Opendatasoft,50,50,2023-08-10 21:52:11
https://opendata.edf.fr,Opendatasoft,45,45,2023-08-10 21:52:14
https://opendata.elia.be,Opendatasoft,70,70,2023-08-10 21:52:17
https://opendata.finistere.fr,Opendatasoft,112,112,2023-08-10 21:52:20
https://opendata.fluvius.be,Opendatasoft,24,24,2023-08-10 21:52:22
https://opendata.grdf.fr,Opendatasoft,21,21,2023-08-10 21:52:25
https://opendata.ha-py.fr,Opendatasoft,144,144,2023-08-10 21:52:28
https://opendata.hauts-de-seine.fr,Opendatasoft,285,285,2023-08-10 21:52:31
https://opendata.icann.org,Opendatasoft,0,0,2023-08-10 21:52:34
https://opendata.infrabel.be,Opendatasoft,91,91,2023-08-10 21:52:36
https://opendata.isere.fr,Opendatasoft,79,79,2023-08-10 21:52:39
https://opendata.liege.be,Opendatasoft,87,87,2023-08-10 21:52:42
https://opendata.lillemetropole.fr,Opendatasoft,546,546,2023-08-10 21:52:45
https://opendata.paris.fr,Opendatasoft,499,499,2023-08-10 21:52:49
https://opendata.paris.fr.opendatasoft.com,Opendatasoft,499,499,2023-08-10 21:52:52
https://opendata.potsdam.de,Opendatasoft,59,59,2023-08-10 21:52:55
https://opendata.rhein-kreis-neuss.de,Opendatasoft,241,241,2023-08-10 21:52:59
https://opendata.roubaix.fr,Opendatasoft,148,148,2023-08-10 21:53:02
https://opendata.saemes.fr,Opendatasoft,17,17,2023-08-10 21:53:04
https://opendata.soregies.fr,Opendatasoft,15,15,2023-08-10 21:53:07
https://opendata.srd-energies.fr,Opendatasoft,21,21,2023-08-10 21:53:09
https://opendata.stif.info,Opendatasoft,65,65,2023-08-10 21:53:13
https://opendata.swisscom.com,Opendatasoft,42,42,2023-08-10 21:53:15
https://opendata.tourcoing.fr,Opendatasoft,23,23,2023-08-10 21:53:17
https://opendata.townofmorrisville.org,Opendatasoft,17,17,2023-08-10 21:53:20
https://opendata.tpg.ch,Opendatasoft,4,4,2023-08-10 21:53:22
https://opendata.umea.se,Opendatasoft,311,311,2023-08-10 21:53:25
https://opendata.vancouver.ca,Opendatasoft,185,185,2023-08-10 21:53:30
https://opendata.vert-saint-denis.fr,Opendatasoft,9,9,2023-08-10 21:53:33
https://opendata.wuerzburg.de,Opendatasoft,104,104,2023-08-10 21:53:38
https://opendatagrdf.opendatasoft.com,Opendatasoft,21,21,2023-08-10 21:53:41
https://opendatakingston.cityofkingston.ca,Opendatasoft,84,84,2023-08-10 21:53:44
https://opendataumea.opendatasoft.com,Opendatasoft,311,311,2023-08-10 21:53:47
https://openkingston.cityofkingston.ca,Opendatasoft,84,84,2023-08-10 21:53:51
https://openkingston.opendatasoft.com,Opendatasoft,84,84,2023-08-10 21:53:54
https://orleansmetropole.opendatasoft.com,Opendatasoft,235,235,2023-08-10 21:53:57
https://parisdata.opendatasoft.com,Opendatasoft,499,499,2023-08-10 21:54:00
https://paysdelaloire.opendatasoft.com,Opendatasoft,298,298,2023-08-10 21:54:03
https://porto-vecchio.opendatasoft.com,Opendatasoft,8,8,2023-08-10 21:54:06
https://potsdam.opendatasoft.com,Opendatasoft,59,59,2023-08-10 21:54:09
https://ppival.opendatasoft.com,Opendatasoft,4,4,2023-08-10 21:54:11
https://prc-digitalwallonia.opendatasoft.com,Opendatasoft,10,10,2023-08-10 21:54:14
https://privado-spms.opendatasoft.com,Opendatasoft,0,0,2023-08-10 21:54:16
https://public.opendatasoft.com,Opendatasoft,587,587,2023-08-10 21:54:31
https://rec-stif.opendatasoft.com,Opendatasoft,30,30,2023-08-10 21:54:34
https://regionguadeloupe.opendatasoft.com,Opendatasoft,110,110,2023-08-10 21:54:37
https://ressources.data.sncf.com,Opendatasoft,213,213,2023-08-10 21:54:39
https://saemes.opendatasoft.com,Opendatasoft,17,17,2023-08-10 21:54:42
https://saint-jean-de-luz-opendatapaysbasque.opendatasoft.com,Opendatasoft,16,16,2023-08-10 21:54:44
https://saint-louis-agglo.opendatasoft.com,Opendatasoft,47,47,2023-08-10 21:54:47
https://saintgermainlescorbeil-grandparissud.opendatasoft.com,Opendatasoft,70,70,2023-08-10 21:54:50
https://saintmande.opendatasoft.com,Opendatasoft,20,20,2023-08-10 21:54:53
https://sarthe.opendatasoft.com,Opendatasoft,84,84,2023-08-10 21:54:55
https://sbb.opendatasoft.com,Opendatasoft,87,87,2023-08-10 21:54:58
https://seineouest.opendatasoft.com,Opendatasoft,158,158,2023-08-10 21:55:01
https://sevres-seineouest.opendatasoft.com,Opendatasoft,67,67,2023-08-10 21:55:03
https://smartregionidf.opendatasoft.com,Opendatasoft,8777,8777,2023-08-10 21:55:29
https://southerngrampians.opendatasoft.com,Opendatasoft,11,11,2023-08-10 21:55:33
https://spenergynetworks.opendatasoft.com,Opendatasoft,14,14,2023-08-10 21:55:35
https://spi-digitalwallonia.opendatasoft.com,Opendatasoft,48,48,2023-08-10 21:55:38
https://spms.opendatasoft.com,Opendatasoft,156,156,2023-08-10 21:55:40
https://sports-sgsocialgouv.opendatasoft.com,Opendatasoft,12,12,2023-08-10 21:55:43
https://srd.opendatasoft.com,Opendatasoft,21,21,2023-08-10 21:55:45
https://stgallen.opendatasoft.com,Opendatasoft,235,235,2023-08-10 21:55:48
https://stpdp-grandparissud.opendatasoft.com,Opendatasoft,8,8,2023-08-10 21:55:51
https://swisscom.opendatasoft.com,Opendatasoft,42,42,2023-08-10 21:55:53
https://swisspost.opendatasoft.com,Opendatasoft,17,17,2023-08-10 21:55:56
https://tourisme62.opendatasoft.com,Opendatasoft,49,49,2023-08-10 21:55:58
https://toursmetropole.opendatasoft.com,Opendatasoft,184,184,2023-08-10 21:56:01
https://townofcary.opendatasoft.com,Opendatasoft,52,52,2023-08-10 21:56:04
https://transparencia.sns.gov.pt,Opendatasoft,156,156,2023-08-10 21:56:07
https://transport.opendatasoft.com,Opendatasoft,62,62,2023-08-10 21:56:10
https://twisto.opendatasoft.com,Opendatasoft,24,24,2023-08-10 21:56:13
https://ukpowernetworks.opendatasoft.com,Opendatasoft,60,60,2023-08-10 21:56:15
https://univevry.opendatasoft.com,Opendatasoft,22,22,2023-08-10 21:56:18
https://valencia.opendatasoft.com,Opendatasoft,270,270,2023-08-10 21:56:22
https://valenciennesmetro.opendatasoft.com,Opendatasoft,31,31,2023-08-10 21:56:24
https://vancouver.opendatasoft.com,Opendatasoft,185,185,2023-08-10 21:56:28
https://vanves-seineouest.opendatasoft.com,Opendatasoft,59,59,2023-08-10 21:56:30
https://westernparklands.opendatasoft.com,Opendatasoft,14,14,2023-08-10 21:56:34
https://wuerzburg.opendatasoft.com,Opendatasoft,104,104,2023-08-10 21:56:37
https://www.boamp.fr,Opendatasoft,23,23,2023-08-10 21:56:40
https://www.bodacc.fr,Opendatasoft,6,6,2023-08-10 21:56:42
https://www.connectgh.com.au,Opendatasoft,11,11,2023-08-10 21:56:46
https://www.data.corsica,Opendatasoft,260,260,2023-08-10 21:56:49
https://www.data.gov.bh,Opendatasoft,302,302,2023-08-10 21:56:52
https://www.data.grigny91.fr,Opendatasoft,5,5,2023-08-10 21:56:55
https://www.fabriquenumeriquedupasse.fr,Opendatasoft,195,195,2023-08-10 21:56:58
https://www.geelongdataexchange.com.au,Opendatasoft,155,155,2023-08-10 21:57:02
https://www.herault-data.fr,Opendatasoft,315,315,2023-08-10 21:57:06
https://www.journal-officiel.gouv.fr,Opendatasoft,15,15,2023-08-10 21:57:09
https://www.odwb.be,Opendatasoft,761,761,2023-08-10 21:57:13
https://www.opendata-paysbasque.fr,Opendatasoft,18,18,2023-08-10 21:57:15
https://www.opendata.corsica,Opendatasoft,260,260,2023-08-10 21:57:19
https://www.opendata56.fr,Opendatasoft,85,85,2023-08-10 21:57:21
https://www.projets-environnement.gouv.fr,Opendatasoft,4,4,2023-08-10 21:57:24
https://zabal-agriculture.opendata-paysbasque.fr,Opendatasoft,163,163,2023-08-10 21:57:27
https://zastrugis.my.opendatasoft.com,Opendatasoft,5,5,2023-08-10 21:57:29
